,Card Name,Decks,Avg,total copies played,colors,convertedManaCost,manaCost,rarity,types,supertypes,subtypes,power,toughness,text
6626,Nissa's Renewal,0.002,2,1.728,G,6,{5}{G},rare,Sorcery,,,,,"Search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle your library. You gain 7 life."
6628,Noose Constrictor,0.002,2,1.728,G,2,{1}{G},uncommon,Creature,,Snake,2,2,"Reach
Discard a card: Noose Constrictor gets +1/+1 until end of turn."
6631,"Ob Nixilis, the Fallen",0.002,2,1.728,B,5,{3}{B}{B},mythic,Creature,Legendary,Demon,3,3,"Landfall â€” Whenever a land enters the battlefield under your control, you may have target player lose 3 life. If you do, put three +1/+1 counters on Ob Nixilis, the Fallen."
6633,Old Man of the Sea,0.002,2,1.728,U,3,{1}{U}{U},rare,Creature,,Djinn,2,3,"You may choose not to untap Old Man of the Sea during your untap step.
{T}: Gain control of target creature with power less than or equal to Old Man of the Sea's power for as long as Old Man of the Sea remains tapped and that creature's power remains less than or equal to Old Man of the Sea's power."
6636,Orcish Spy,0.002,2,1.728,R,1,{R},common,Creature,,"Orc,Rogue",1,1,{T}: Look at the top three cards of target player's library.
6640,Ordeal of Heliod,0.002,2,1.728,W,2,{1}{W},uncommon,Enchantment,,Aura,,,"Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Heliod.
When you sacrifice Ordeal of Heliod, you gain 10 life."
6642,Order of the Ebon Hand,0.002,2,1.728,B,2,{B}{B},common,Creature,,"Cleric,Knight",2,1,"Protection from white
{B}: Order of the Ebon Hand gains first strike until end of turn.
{B}{B}: Order of the Ebon Hand gets +1/+0 until end of turn."
6652,Pause for Reflection,0.002,2,1.728,G,3,{2}{G},common,Instant,,,,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Prevent all combat damage that would be dealt this turn."
6653,Phyrexian War Beast,0.002,2,1.728,,3,{3},common,"Artifact,Creature",,Beast,3,4,"When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you."
6658,Planar Outburst,0.002,2,1.728,W,5,{3}{W}{W},rare,Sorcery,,,,,"Destroy all nonland creatures.
Awaken 4â€”{5}{W}{W}{W} (If you cast this spell for {5}{W}{W}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
6660,Precursor Golem,0.002,2,1.728,,5,{5},rare,"Artifact,Creature",,Golem,3,3,"When Precursor Golem enters the battlefield, create two 3/3 colorless Golem artifact creature tokens.
Whenever a player casts an instant or sorcery spell that targets only a single Golem, that player copies that spell for each other Golem that spell could target. Each copy targets a different one of those Golems."
6663,Primeval Bounty,0.002,2,1.728,G,6,{5}{G},mythic,Enchantment,,,,,"Whenever you cast a creature spell, create a 3/3 green Beast creature token.
Whenever you cast a noncreature spell, put three +1/+1 counters on target creature you control.
Whenever a land enters the battlefield under your control, you gain 3 life."
6664,Prognostic Sphinx,0.002,2,1.728,U,5,{3}{U}{U},rare,Creature,,Sphinx,3,5,"Flying
Discard a card: Prognostic Sphinx gains hexproof until end of turn. Tap it.
Whenever Prognostic Sphinx attacks, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
6668,Psychotic Episode,0.002,2,1.728,B,3,{1}{B}{B},common,Sorcery,,,,,"Target player reveals their hand and the top card of their library. You choose a card revealed this way. That player puts the chosen card on the bottom of their library.
Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
6669,Pyrite Spellbomb,0.002,2,1.728,,1,{1},common,Artifact,,,,,"{R}, Sacrifice Pyrite Spellbomb: It deals 2 damage to any target.
{1}, Sacrifice Pyrite Spellbomb: Draw a card."
6672,Rage Weaver,0.002,2,1.728,R,2,{1}{R},uncommon,Creature,,"Human,Wizard",2,1,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.)
6675,Rainbow Efreet,0.002,2,1.728,U,4,{3}{U},rare,Creature,,Efreet,3,1,"Flying
{U}{U}: Rainbow Efreet phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)"
6677,Revolutionary Rebuff,0.002,2,1.728,U,2,{1}{U},common,Instant,,,,,Counter target nonartifact spell unless its controller pays {2}.
6678,"Rishkar, Peema Renegade",0.002,2,1.728,G,3,{2}{G},rare,Creature,Legendary,"Elf,Druid",2,2,"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.
Each creature you control with a counter on it has ""{T}: Add {G}."""
6680,Ronom Unicorn,0.002,2,1.728,W,2,{1}{W},common,Creature,,Unicorn,2,2,Sacrifice Ronom Unicorn: Destroy target enchantment.
6682,Savage Punch,0.002,2,1.728,G,2,{1}{G},common,Sorcery,,,,,"Target creature you control fights target creature you don't control.
Ferocious â€” The creature you control gets +2/+2 until end of turn before it fights if you control a creature with power 4 or greater."
6684,Selesnya Charm,0.002,2,1.728,"G,W",2,{G}{W},uncommon,Instant,,,,,"Choose one â€”
â€¢ Target creature gets +2/+2 and gains trample until end of turn.
â€¢ Exile target creature with power 5 or greater.
â€¢ Create a 2/2 white Knight creature token with vigilance."
6688,Shivan Fire,0.002,2,1.728,R,1,{R},common,Instant,,,,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Shivan Fire deals 2 damage to target creature. If this spell was kicked, it deals 4 damage instead."
6689,Silumgar's Command,0.002,2,1.728,"B,U",5,{3}{U}{B},rare,Instant,,,,,"Choose two â€”
â€¢ Counter target noncreature spell.
â€¢ Return target permanent to its owner's hand.
â€¢ Target creature gets -3/-3 until end of turn.
â€¢ Destroy target planeswalker."
6692,Skinrender,0.002,2,1.728,B,4,{2}{B}{B},rare,Creature,,Zombie,3,3,"When Skinrender enters the battlefield, put three -1/-1 counters on target creature."
6694,Spawning Pit,0.002,2,1.728,,2,{2},uncommon,Artifact,,,,,"Sacrifice a creature: Put a charge counter on Spawning Pit.
{1}, Remove two charge counters from Spawning Pit: Create a 2/2 colorless Spawn artifact creature token."
6696,Spellskite,0.002,2,1.728,,2,{2},rare,"Artifact,Creature",,Horror,0,4,{U/P}: Change a target of target spell or ability to Spellskite. ({U/P} can be paid with either {U} or 2 life.)
6700,Spiritmonger,0.002,2,1.728,"B,G",5,{3}{B}{G},rare,Creature,,Beast,6,6,"Whenever Spiritmonger deals damage to a creature, put a +1/+1 counter on Spiritmonger.
{B}: Regenerate Spiritmonger.
{G}: Spiritmonger becomes the color of your choice until end of turn."
6708,Star Compass,0.002,2,1.728,,2,{2},uncommon,Artifact,,,,,"Star Compass enters the battlefield tapped.
{T}: Add one mana of any color that a basic land you control could produce."
6711,Sunscourge Champion,0.002,2,1.728,W,3,{2}{W},uncommon,Creature,,"Human,Wizard",2,3,"When Sunscourge Champion enters the battlefield, you gain life equal to its power.
Eternalizeâ€”{2}{W}{W}, Discard a card. ({2}{W}{W}, Discard a card, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Human Wizard with no mana cost. Eternalize only as a sorcery.)"
6712,Sunspring Expedition,0.002,2,1.728,W,1,{W},common,Enchantment,,,,,"Landfall â€” Whenever a land enters the battlefield under your control, you may put a quest counter on Sunspring Expedition.
Remove three quest counters from Sunspring Expedition and sacrifice it: You gain 8 life."
6713,The Flame of Keld,0.002,2,1.728,R,2,{1}{R},uncommon,Enchantment,,Saga,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I â€” Discard your hand.
II â€” Draw two cards.
III â€” If a red source you control would deal damage to a permanent or player this turn, it deals that much damage plus 2 to that permanent or player instead."
6714,Thorn Elemental,0.002,2,1.728,G,7,{5}{G}{G},rare,Creature,,Elemental,7,7,You may have Thorn Elemental assign its combat damage as though it weren't blocked.
6720,Transgress the Mind,0.002,2,1.728,,2,{1}{B},uncommon,Sorcery,,,,,"Devoid (This card has no color.)
Target player reveals their hand. You choose a card from it with converted mana cost 3 or greater and exile that card."
6721,Trinket Mage,0.002,2,1.728,U,3,{2}{U},common,Creature,,"Human,Wizard",2,2,"When Trinket Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. If you do, shuffle your library."
6728,Tsabo's Decree,0.002,2,1.728,B,6,{5}{B},rare,Instant,,,,,Choose a creature type. Target player reveals their hand and discards all creature cards of that type. Then destroy all creatures of that type that player controls. They can't be regenerated.
6730,Tumble Magnet,0.002,2,1.728,,3,{3},uncommon,Artifact,,,,,"Tumble Magnet enters the battlefield with three charge counters on it.
{T}, Remove a charge counter from Tumble Magnet: Tap target artifact or creature."
6732,Twinflame,0.002,2,1.728,R,2,{1}{R},rare,Sorcery,,,,,"Strive â€” This spell costs {2}{R} more to cast for each target beyond the first.
Choose any number of target creatures you control. For each of them, create a token that's a copy of that creature, except it has haste. Exile those tokens at the beginning of the next end step."
6733,"Ulamog, the Infinite Gyre",0.002,2,1.728,,11,{11},mythic,Creature,Legendary,Eldrazi,10,10,"When you cast this spell, destroy target permanent.
Indestructible
Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)
When Ulamog, the Infinite Gyre is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
6738,Uncomfortable Chill,0.002,2,1.728,U,3,{2}{U},common,Instant,,,,,"Creatures your opponents control get -2/-0 until end of turn.
Draw a card."
6740,Underworld Connections,0.002,2,1.728,B,3,{1}{B}{B},rare,Enchantment,,Aura,,,"Enchant land
Enchanted land has ""{T}, Pay 1 life: Draw a card."""
6744,Vengeful Dreams,0.002,2,1.728,W,2,{W}{W},rare,Instant,,,,,"As an additional cost to cast this spell, discard X cards.
Exile X target attacking creatures."
6747,Vengevine,0.002,2,1.728,G,4,{2}{G}{G},mythic,Creature,,Elemental,4,3,"Haste
Whenever you cast a spell, if it's the second creature spell you cast this turn, you may return Vengevine from your graveyard to the battlefield."
6752,Vindicate,0.002,2,1.728,"B,W",3,{1}{W}{B},rare,Sorcery,,,,,Destroy target permanent.
6759,White Sun's Zenith,0.002,2,1.728,W,3,{X}{W}{W}{W},rare,Instant,,,,,Create X 2/2 white Cat creature tokens. Shuffle White Sun's Zenith into its owner's library.
6763,Wing Shards,0.002,2,1.728,W,3,{1}{W}{W},uncommon,Instant,,,,,"Target player sacrifices an attacking creature.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
6773,Woolly Spider,0.002,2,1.728,G,3,{1}{G}{G},common,Creature,,Spider,2,3,"Reach (This creature can block creatures with flying.)
Whenever Woolly Spider blocks a creature with flying, Woolly Spider gets +0/+2 until end of turn."
6778,Wring Flesh,0.002,2,1.728,B,1,{B},common,Instant,,,,,Target creature gets -3/-1 until end of turn.
6780,Abandoned Sarcophagus,0.002,1,0.864,,3,{3},rare,Artifact,,,,,"You may cast nonland cards with cycling from your graveyard.
If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead."
6783,Abrupt Decay,0.002,1,0.864,"B,G",2,{B}{G},rare,Instant,,,,,"This spell can't be countered.
Destroy target nonland permanent with converted mana cost 3 or less."
6788,Aetherspouts,0.002,1,0.864,U,5,{3}{U}{U},rare,Instant,,,,,"For each attacking creature, its owner puts it on the top or bottom of their library."
6789,Aladdin,0.002,1,0.864,R,4,{2}{R}{R},rare,Creature,,"Human,Rogue",1,1,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin."
6793,Altar of the Brood,0.002,1,0.864,,1,{1},rare,Artifact,,,,,"Whenever another permanent enters the battlefield under your control, each opponent puts the top card of their library into their graveyard."
6796,Anarchist,0.002,1,0.864,R,5,{4}{R},uncommon,Creature,,"Human,Wizard",2,2,"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand."
6801,Anger,0.002,1,0.864,R,4,{3}{R},uncommon,Creature,,Incarnation,2,2,"Haste
As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste."
6810,Aqueous Form,0.002,1,0.864,U,1,{U},common,Enchantment,,Aura,,,"Enchant creature
Enchanted creature can't be blocked.
Whenever enchanted creature attacks, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
6811,Arbor Colossus,0.002,1,0.864,G,5,{2}{G}{G}{G},rare,Creature,,Giant,6,6,"Reach
{3}{G}{G}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls."
6813,Arcanis the Omnipotent,0.002,1,0.864,U,6,{3}{U}{U}{U},rare,Creature,Legendary,Wizard,3,4,"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand."
6820,Astral Cornucopia,0.002,1,0.864,,0,{X}{X}{X},rare,Artifact,,,,,"Astral Cornucopia enters the battlefield with X charge counters on it.
{T}: Choose a color. Add one mana of that color for each charge counter on Astral Cornucopia."
6823,Aura of Silence,0.002,1,0.864,W,3,{1}{W}{W},uncommon,Enchantment,,,,,"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice Aura of Silence: Destroy target artifact or enchantment."
6832,"Aurelia, the Warleader",0.002,1,0.864,"R,W",6,{2}{R}{R}{W}{W},mythic,Creature,Legendary,Angel,3,4,"Flying, vigilance, haste
Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase."
6835,Berserk,0.002,1,0.864,G,1,{G},uncommon,Instant,,,,,"Cast this spell only before the combat damage step.
Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn."
6844,Blight Mamba,0.002,1,0.864,G,2,{1}{G},common,Creature,,Snake,1,1,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
{1}{G}: Regenerate Blight Mamba."
6845,Blind Seer,0.002,1,0.864,U,4,{2}{U}{U},rare,Creature,Legendary,"Human,Wizard",3,3,{1}{U}: Target spell or permanent becomes the color of your choice until end of turn.
6846,Blink of an Eye,0.002,1,0.864,U,2,{1}{U},common,Instant,,,,,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card."
6847,Briber's Purse,0.002,1,0.864,,0,{X},uncommon,Artifact,,,,,"Briber's Purse enters the battlefield with X gem counters on it.
{1}, {T}, Remove a gem counter from Briber's Purse: Target creature can't attack or block this turn."
6850,Butcher Ghoul,0.002,1,0.864,B,2,{1}{B},common,Creature,,Zombie,1,1,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)"
6852,Cabal Therapy,0.002,1,0.864,B,1,{B},uncommon,Sorcery,,,,,"Choose a nonland card name. Target player reveals their hand and discards all cards with that name.
Flashbackâ€”Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
6861,Caldera Hellion,0.002,1,0.864,R,5,{3}{R}{R},rare,Creature,,Hellion,3,3,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)
When Caldera Hellion enters the battlefield, it deals 3 damage to each creature."
6862,Capsize,0.002,1,0.864,U,3,{1}{U}{U},rare,Instant,,,,,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Return target permanent to its owner's hand."
6869,Captain of the Watch,0.002,1,0.864,W,6,{4}{W}{W},rare,Creature,,"Human,Soldier",3,3,"Vigilance (Attacking doesn't cause this creature to tap.)
Other Soldier creatures you control get +1/+1 and have vigilance.
When Captain of the Watch enters the battlefield, create three 1/1 white Soldier creature tokens."
6872,Citadel Siege,0.002,1,0.864,W,4,{2}{W}{W},rare,Enchantment,,,,,"As Citadel Siege enters the battlefield, choose Khans or Dragons.
â€¢ Khans â€” At the beginning of combat on your turn, put two +1/+1 counters on target creature you control.
â€¢ Dragons â€” At the beginning of combat on each opponent's turn, tap target creature that player controls."
6875,Cleansing Nova,0.002,1,0.864,W,5,{3}{W}{W},rare,Sorcery,,,,,"Choose one â€”
â€¢ Destroy all creatures.
â€¢ Destroy all artifacts and enchantments."
6879,Clone,0.002,1,0.864,U,4,{3}{U},rare,Creature,,Shapeshifter,0,0,You may have Clone enter the battlefield as a copy of any creature on the battlefield.
6895,Coffin Queen,0.002,1,0.864,B,3,{2}{B},rare,Creature,,"Zombie,Wizard",1,1,"You may choose not to untap Coffin Queen during your untap step.
{2}{B}, {T}: Put target creature card from a graveyard onto the battlefield under your control. When Coffin Queen becomes untapped or you lose control of Coffin Queen, exile that creature."
6897,Complete Disregard,0.002,1,0.864,,3,{2}{B},common,Instant,,,,,"Devoid (This card has no color.)
Exile target creature with power 3 or less."
6898,Consuming Vapors,0.002,1,0.864,B,4,{3}{B},rare,Sorcery,,,,,"Target player sacrifices a creature. You gain life equal to that creature's toughness.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
6900,Contagion Engine,0.002,1,0.864,,6,{6},rare,Artifact,,,,,"When Contagion Engine enters the battlefield, put a -1/-1 counter on each creature target player controls.
{4}, {T}: Proliferate, then proliferate again. (Choose any number of permanents and/or players, then give each another counter of each kind already there. Then do it again.)"
6901,Creeping Mold,0.002,1,0.864,G,4,{2}{G}{G},uncommon,Sorcery,,,,,"Destroy target artifact, enchantment, or land."
6914,Cruel Ultimatum,0.002,1,0.864,"B,R,U",7,{U}{U}{B}{B}{B}{R}{R},rare,Sorcery,,,,,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life."
6920,Crumble,0.002,1,0.864,G,1,{G},uncommon,Instant,,,,,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost.
6929,Dark Banishing,0.002,1,0.864,B,3,{2}{B},common,Instant,,,,,Destroy target nonblack creature. It can't be regenerated.
6949,Darksteel Colossus,0.002,1,0.864,,11,{11},rare,"Artifact,Creature",,Golem,11,11,"Trample, indestructible
If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead."
6951,Detention Sphere,0.002,1,0.864,"U,W",3,{1}{W}{U},rare,Enchantment,,,,,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.
When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control."
6953,Detonate,0.002,1,0.864,R,1,{X}{R},uncommon,Sorcery,,,,,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
6965,Die Young,0.002,1,0.864,B,2,{1}{B},common,Sorcery,,,,,"Choose target creature. You get {E}{E} (two energy counters), then you may pay any amount of {E}. The creature gets -1/-1 until end of turn for each {E} paid this way."
6967,Dispel,0.002,1,0.864,U,1,{U},common,Instant,,,,,Counter target instant spell.
6971,Disrupting Scepter,0.002,1,0.864,,3,{3},rare,Artifact,,,,,"{3}, {T}: Target player discards a card. Activate this ability only during your turn."
6987,Divination,0.002,1,0.864,U,3,{2}{U},common,Sorcery,,,,,Draw two cards.
7000,Divine Offering,0.002,1,0.864,W,2,{1}{W},common,Instant,,,,,Destroy target artifact. You gain life equal to its converted mana cost.
7011,Dizzy Spell,0.002,1,0.864,U,1,{U},common,Instant,,,,,"Target creature gets -3/-0 until end of turn.
Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)"
7012,Doom Whisperer,0.002,1,0.864,B,5,{3}{B}{B},mythic,Creature,,"Nightmare,Demon",6,6,"Flying, trample
Pay 2 life: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on the top of your library in any order.)"
7014,Dragonlord Dromoka,0.002,1,0.864,"G,W",6,{4}{G}{W},mythic,Creature,Legendary,"Elder,Dragon",5,7,"This spell can't be countered.
Flying, lifelink
Your opponents can't cast spells during your turn."
7016,Draining Whelk,0.002,1,0.864,U,6,{4}{U}{U},rare,Creature,,Illusion,1,1,"Flash (You may cast this spell any time you could cast an instant.)
Flying
When Draining Whelk enters the battlefield, counter target spell. Put X +1/+1 counters on Draining Whelk, where X is that spell's converted mana cost."
7017,"Dromar, the Banisher",0.002,1,0.864,"B,U,W",6,{3}{W}{U}{B},rare,Creature,Legendary,Dragon,6,6,"Flying
Whenever Dromar, the Banisher deals combat damage to a player, you may pay {2}{U}. If you do, choose a color, then return all creatures of that color to their owners' hands."
7018,Duneblast,0.002,1,0.864,"B,G,W",7,{4}{W}{B}{G},rare,Sorcery,,,,,Choose up to one creature. Destroy the rest.
7023,Dwarven Soldier,0.002,1,0.864,R,2,{1}{R},common,Creature,,"Dwarf,Soldier",2,1,"Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn."
7028,"Emrakul, the Aeons Torn",0.002,1,0.864,,15,{15},mythic,Creature,Legendary,Eldrazi,15,15,"This spell can't be countered.
When you cast this spell, take an extra turn after this one.
Flying, protection from colored spells, annihilator 6
When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
7036,Energy Field,0.002,1,0.864,U,2,{1}{U},rare,Enchantment,,,,,"Prevent all damage that would be dealt to you by sources you don't control.
When a card is put into your graveyard from anywhere, sacrifice Energy Field."
7039,Entrancing Melody,0.002,1,0.864,U,2,{X}{U}{U},rare,Sorcery,,,,,Gain control of target creature with converted mana cost X.
7042,Eradicate,0.002,1,0.864,B,4,{2}{B}{B},uncommon,Sorcery,,,,,"Exile target nonblack creature. Search its controller's graveyard, hand, and library for all cards with the same name as that creature and exile them. Then that player shuffles their library."
7044,Fatal Frenzy,0.002,1,0.864,R,3,{2}{R},rare,Instant,,,,,"Until end of turn, target creature you control gains trample and gets +X/+0, where X is its power. Sacrifice it at the beginning of the next end step."
7045,Firebolt,0.002,1,0.864,R,1,{R},common,Sorcery,,,,,"Firebolt deals 2 damage to any target.
Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
7054,Flames of the Firebrand,0.002,1,0.864,R,3,{2}{R},uncommon,Sorcery,,,,,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three targets."
7056,Force of Nature,0.002,1,0.864,G,6,{2}{G}{G}{G}{G},rare,Creature,,Elemental,8,8,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}."
7072,Fork,0.002,1,0.864,R,2,{R}{R},rare,Instant,,,,,"Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy."
7082,Forsaken Wastes,0.002,1,0.864,B,3,{2}{B},rare,Enchantment,World,,,,"Players can't gain life.
At the beginning of each player's upkeep, that player loses 1 life.
Whenever Forsaken Wastes becomes the target of a spell, that spell's controller loses 5 life."
7084,"Gadwick, the Wizened",0.002,1,0.864,U,3,{X}{U}{U}{U},rare,Creature,Legendary,"Human,Wizard",3,3,"When Gadwick, the Wizened enters the battlefield, draw X cards.
Whenever you cast a blue spell, tap target nonland permanent an opponent controls."
7088,Goblin Arsonist,0.002,1,0.864,R,1,{R},common,Creature,,"Goblin,Shaman",1,1,"When Goblin Arsonist dies, you may have it deal 1 damage to any target."
7092,Goblin Charbelcher,0.002,1,0.864,,4,{4},rare,Artifact,,,,,"{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order."
7097,Goblin Cratermaker,0.002,1,0.864,R,2,{1}{R},uncommon,Creature,,"Goblin,Warrior",2,2,"{1}, Sacrifice Goblin Cratermaker: Choose one â€”
â€¢ Goblin Cratermaker deals 2 damage to target creature.
â€¢ Destroy target colorless nonland permanent."
7098,Goblin Digging Team,0.002,1,0.864,R,1,{R},common,Creature,,Goblin,1,1,"{T}, Sacrifice Goblin Digging Team: Destroy target Wall."
7104,Goblin Grappler,0.002,1,0.864,R,1,{R},common,Creature,,Goblin,1,1,"Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)"
7106,Goblin Mutant,0.002,1,0.864,R,4,{2}{R}{R},uncommon,Creature,,"Goblin,Mutant",5,3,"Trample
Goblin Mutant can't attack if defending player controls an untapped creature with power 3 or greater.
Goblin Mutant can't block creatures with power 3 or greater."
7111,God-Eternal Bontu,0.002,1,0.864,B,5,{3}{B}{B},mythic,Creature,Legendary,"Zombie,God",5,6,"Menace
When God-Eternal Bontu enters the battlefield, sacrifice any number of other permanents, then draw that many cards.
When God-Eternal Bontu dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
7114,Granite Gargoyle,0.002,1,0.864,R,3,{2}{R},rare,Creature,,Gargoyle,2,2,"Flying
{R}: Granite Gargoyle gets +0/+1 until end of turn."
7123,Grim Discovery,0.002,1,0.864,B,2,{1}{B},common,Sorcery,,,,,"Choose one or both â€”
â€¢ Return target creature card from your graveyard to your hand.
â€¢ Return target land card from your graveyard to your hand."
7126,Harsh Scrutiny,0.002,1,0.864,B,1,{B},uncommon,Sorcery,,,,,Target opponent reveals their hand. You choose a creature card from it. That player discards that card. Scry 1.
7127,Hedron Archive,0.002,1,0.864,,4,{4},uncommon,Artifact,,,,,"{T}: Add {C}{C}.
{2}, {T}, Sacrifice Hedron Archive: Draw two cards."
7131,"Ink-Eyes, Servant of Oni",0.002,1,0.864,B,6,{4}{B}{B},rare,Creature,Legendary,"Rat,Ninja",5,4,"Ninjutsu {3}{B}{B} ({3}{B}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Ink-Eyes, Servant of Oni deals combat damage to a player, you may put target creature card from that player's graveyard onto the battlefield under your control.
{1}{B}: Regenerate Ink-Eyes."
7138,Ivory Mask,0.002,1,0.864,W,4,{2}{W}{W},rare,Enchantment,,,,,You have shroud. (You can't be the target of spells or abilities.)
7141,"Jace, Unraveler of Secrets",0.002,1,0.864,U,5,{3}{U}{U},mythic,Planeswalker,Legendary,Jace,,,"[+1]: Scry 1, then draw a card.
[âˆ’2]: Return target creature to its owner's hand.
[âˆ’8]: You get an emblem with ""Whenever an opponent casts their first spell each turn, counter that spell."""
7145,Jayemdae Tome,0.002,1,0.864,,4,{4},rare,Artifact,,,,,"{4}, {T}: Draw a card."
7167,Jester's Cap,0.002,1,0.864,,4,{4},rare,Artifact,,,,,"{2}, {T}, Sacrifice Jester's Cap: Search target player's library for three cards and exile them. Then that player shuffles their library."
7173,"Kagemaro, First to Suffer",0.002,1,0.864,B,5,{3}{B}{B},rare,Creature,Legendary,"Demon,Spirit",*,*,"Kagemaro, First to Suffer's power and toughness are each equal to the number of cards in your hand.
{B}, Sacrifice Kagemaro: All creatures get -X/-X until end of turn, where X is the number of cards in your hand."
7174,Krosan Reclamation,0.002,1,0.864,G,2,{1}{G},uncommon,Instant,,,,,"Target player shuffles up to two target cards from their graveyard into their library.
Flashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
7178,Lava Dart,0.002,1,0.864,R,1,{R},common,Instant,,,,,"Lava Dart deals 1 damage to any target.
Flashbackâ€”Sacrifice a Mountain. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
7180,Ley Druid,0.002,1,0.864,G,3,{2}{G},uncommon,Creature,,"Human,Druid",1,1,{T}: Untap target land.
